"Symbol";"Value";"Unit";
"Series";"Poke In Wire Connector Modular";"";
"TE_365040";"300";"";
"TE_903246";"Through Hole";"";
"TE_108653";"Vertical";"";
"TE_108654";"20 – 14";"";
"SUPPLIER";"TE Connectivity";"";
"TE_108657";"UL";"";
"REFERENCE";"1-2834011-3";"";
"TE_108649";"Receptacle";"";
"TraceParts.InstanceId";"90-12042019-042115EYDQ1LSIZY23HZGLD9RP69HDV";"";
"TE_901806";"Printed Circuit Board";"";
"TraceParts.PartTitle";"Solid State Lighting Connectors";"";
"DESIGN";"3POS 3.5MM TOP ENTRY SCREWLESS CONN.";"";
"TE_901868";"6";"";
"TraceParts.PartNumber";"90-12042019-042115";"";
"TE_108668";"Tin-Lead over Nickel";"";
"TraceParts.PartVersion";"1.0.2";"";
"TRACEPARTS";"TRACEPARTS";"";
"TE_904473";"No";"";
"TE_108699";"Connector";"";
"URL";"https://www.te.com/usa-en/product-1-2834011-3.html?te_bu=Cor&te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"TE_901870";"No";"";
"TE_905512";"Matte";"";
"TE_108662";"Connector Assembly";"";
"TE_901869";"3";"";
"TE_108690";"Box & Carton";"";
"TE_906280";"Yes";"";
"TraceParts.PartLanguage";"en";"";
"TE_906279";"Yes";"";
