Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Yellow,LED_0805_2012Metric,205.855,-108.2,90,top
D2,Yellow,LED_0805_2012Metric,207.960714,-108.2,90,top
D3,Yellow,LED_0805_2012Metric,210.021428,-108.2,90,top
D4,Yellow,LED_0805_2012Metric,212.082142,-108.2,90,top
D5,Yellow,LED_0805_2012Metric,214.142856,-108.2,90,top
D6,Yellow,LED_0805_2012Metric,216.20357,-108.2,90,top
D7,Yellow,LED_0805_2012Metric,218.264284,-108.2,90,top
D8,Yellow,LED_0805_2012Metric,220.324998,-108.2,90,top
D9,Yellow,LED_0805_2012Metric,222.385712,-108.2,90,top
D10,Yellow,LED_0805_2012Metric,224.446426,-108.2,90,top
D11,Yellow,LED_0805_2012Metric,226.50714,-108.2,90,top
D12,Yellow,LED_0805_2012Metric,228.567854,-108.2,90,top
D13,Yellow,LED_0805_2012Metric,230.628568,-108.2,90,top
D14,Yellow,LED_0805_2012Metric,232.689282,-108.2,90,top
D15,Yellow,LED_0805_2012Metric,234.749996,-108.2,90,top
D16,Yellow,LED_0805_2012Metric,236.81071,-108.2,90,top
D17,Yellow,LED_0805_2012Metric,238.871424,-108.2,90,top
D18,Yellow,LED_0805_2012Metric,240.932138,-108.2,90,top
D19,Yellow,LED_0805_2012Metric,242.992852,-108.2,90,top
D20,Yellow,LED_0805_2012Metric,245.053566,-108.2,90,top
D21,Yellow,LED_0805_2012Metric,247.11428,-108.2,90,top
D22,Yellow,LED_0805_2012Metric,249.174994,-108.2,90,top
D23,Yellow,LED_0805_2012Metric,251.235708,-108.2,90,top
D24,Yellow,LED_0805_2012Metric,253.296422,-108.2,90,top
D25,Yellow,LED_0805_2012Metric,255.357136,-108.2,90,top
D26,Yellow,LED_0805_2012Metric,257.41785,-108.2,90,top
D27,Yellow,LED_0805_2012Metric,259.478564,-108.2,90,top
D28,Yellow,LED_0805_2012Metric,261.539278,-108.2,90,top
D29,Yellow,LED_0805_2012Metric,201.9,-108.2,90,top
R1,10k,R_0805_2012Metric,205.855,-104.1,-90,top
R2,10k,R_0805_2012Metric,207.915714,-104.1,-90,top
R3,10k,R_0805_2012Metric,209.976428,-104.1,-90,top
R4,10k,R_0805_2012Metric,212.037142,-104.1,-90,top
R5,10k,R_0805_2012Metric,214.097856,-104.1,-90,top
R6,10k,R_0805_2012Metric,216.15857,-104.1,-90,top
R7,10k,R_0805_2012Metric,218.219284,-104.1,-90,top
R8,10k,R_0805_2012Metric,220.279998,-104.1,-90,top
R9,10k,R_0805_2012Metric,222.355,-104.1,-90,top
R10,10k,R_0805_2012Metric,224.401426,-104.1,-90,top
R11,10k,R_0805_2012Metric,226.46214,-104.1,-90,top
R12,10k,R_0805_2012Metric,228.522854,-104.1,-90,top
R13,10k,R_0805_2012Metric,230.583568,-104.1,-90,top
R14,10k,R_0805_2012Metric,232.644282,-104.1,-90,top
R15,10k,R_0805_2012Metric,234.704996,-104.1,-90,top
R16,10k,R_0805_2012Metric,236.76571,-104.1,-90,top
R17,10k,R_0805_2012Metric,238.826424,-104.1,-90,top
R18,10k,R_0805_2012Metric,240.887138,-104.1,-90,top
R19,10k,R_0805_2012Metric,242.947852,-104.1,-90,top
R20,10k,R_0805_2012Metric,245.008566,-104.1,-90,top
R21,10k,R_0805_2012Metric,247.06928,-104.1,-90,top
R22,10k,R_0805_2012Metric,249.129994,-104.1,-90,top
R23,10k,R_0805_2012Metric,251.190708,-104.1,-90,top
R24,10k,R_0805_2012Metric,253.251422,-104.1,-90,top
R25,10k,R_0805_2012Metric,255.312136,-104.1,-90,top
R26,10k,R_0805_2012Metric,257.37285,-104.1,-90,top
R27,10k,R_0805_2012Metric,259.433564,-104.1,-90,top
R28,10k,R_0805_2012Metric,261.494278,-104.1,-90,top
R29,10k,R_0805_2012Metric,201.855,-104.1,-90,top
